X,Y,BOROUGH,LINE,STATION,DISTRICT,STATION_ID,NOTE
985262,166923,"Brooklyn","N","New Utrecht Avenue","34",73,"N-all times"
981054,170614,"Brooklyn","N","8 Avenue","34",71,"N-all times"
987908,157036,"Brooklyn","D","25 Avenue","34",69,"D-all times"
984757,159577,"Brooklyn","D","20 Avenue","34",67,"D-all times"
984088,162667,"Brooklyn","D","79 Street","34",65,"D-all times"
985122,167427,"Brooklyn","D","62 Street","34",63,"D-all times"
985732,171083,"Brooklyn","D","50 Street","34",61,"D-all times"
985790,174808,"Brooklyn","D","9 Avenue","34",59,"D-all times"
981473,175702,"Brooklyn","N,R","45 Street","34",33,"N-nights, R-all times, skips nights northbound"
979288,172942,"Brooklyn","N,R","59 Street","34",35,"N,R-all times"
977169,168709,"Brooklyn","R","77 Street","34",37,"R-all times"
975678,163930,"Brooklyn","R","95 Street / Bay Ridge","34",39,"R-all times"
1012293,212436,"Queens","M,R","65 Street","20",268,"E-nights, R-all other times, M-weekdays and evenings"
987638,212445,"Manhattan","B,D,F,M","34 Street / Herald Square","02",227,"B,M-weekdays and evenings, D,F-all times"
1008209,214835,"Queens","M,R","46 Street","20",270,"E-nights, R-all other times, M-weekdays and evenings"
996550,223270,"Manhattan","4,5,6","86 Street","04",397,"4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
1003917,213244,"Queens","M,R","36 Street","20",272,"E-nights, R-all other times, M-weekdays and evenings"
990804,221820,"Manhattan","A,B,C","72 Street","01",160,"A-nights, B-weekdays and evenings, C-all times exc nights"
999197,211713,"Queens","E,M","Court Square / 23 Street","20",274,"E-all times, M-weekdays and evenings"
994258,219133,"Manhattan","6","68 Street / Hunter College","04",399,"4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
999818,211181,"Queens","G","Long Island City / Court Square","20",281,"G-all times"
986255,209955,"Manhattan","F,M","23 Street","02",228,"F-all times, M-weekdays and evenings"
1027020,214244,"Queens","7","Willets Point / Citi Field","20",448,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
993288,217154,"Manhattan","N,R,W","Lexington Avenue / 59 Street","04",7,"N-all times, R-all times exc nights, W part time"
1022292,212503,"Queens","7","103 Street / Corona Plaza","20",450,"7-all times"
983782,209204,"Manhattan","A,C,E","14 Street","02",166,"A,E-all times, C-all times exc nights"
1018438,211966,"Queens","7","90 Street / Elmhurst Avenue","20",452,"7-all times"
990016,213531,"Manhattan","S","42 Street / Grand Central","04",469,"S to Times Sq-all times exc nights, closed nights-use 7"
1014396,211399,"Queens","7","74 Street / Broadway","20",454,"7-all times"
983536,208797,"Manhattan","L","8 Avenue","02",115,"L-all times"
1011132,210945,"Queens","7","61 Street / Woodside","20",456,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
990888,213044,"Manhattan","7","42 Street / Grand Central","04",465,"7-all times, 7 Express-rush hours AM westbound, PM eastbound"
1006852,210030,"Queens","7","46 Street","20",458,"7-all times"
989422,215671,"Manhattan","B,D,F,M","47-50 Streets / Rockefeller Center","01",225,"B,M-weekdays and evenings, D,F-all times"
1003370,210557,"Queens","7","33 Street","20",460,"7-all times"
